first_name,last_name,date_of_birth,fee,joined_on,matriculation
Loraine,Neame,2000-07-24,$1840.69,2009-04-17,false
Saudra,Pauwel,2002-01-20,$624.17,2013-07-14,true
Frank,Attwill,2000-05-25,$1766.97,2022-02-11,true
Brenna,Bridgen,2000-07-02,$2086.56,2009-07-04,true
Lilia,Ussher,1999-05-21,$3874.09,2010-01-04,true
Olag,McFeate,1998-08-01,$897.96,2004-05-29,false
Jessee,Livard,2001-10-14,$3543.50,2013-04-10,false
Tuck,Pilkington,1998-03-25,$3045.04,2019-04-18,true
Una,Kopfen,2001-09-13,$3057.05,2005-07-16,false
Marj,Pilipets,1999-10-31,$1583.93,2007-04-06,true
Ardeen,Feldman,2000-05-25,$3932.37,2011-09-09,true
Nadya,Daglish,2001-09-10,$3990.87,2004-07-23,false
Kelsy,Self,1998-11-14,$1874.26,2022-01-21,true
Cole,Fall,2000-11-28,$2979.10,2002-04-25,true
Zulema,Jesper,1999-09-15,$3876.13,2005-05-15,false
Melesa,Youdell,2000-08-02,$2847.14,2018-06-22,true
Bernie,Phalip,1999-09-03,$2648.77,2016-11-28,false
Liv,Pasmore,2001-08-13,$737.34,2020-02-11,true
Malchy,Croall,2000-08-28,$2183.89,2011-09-01,true
Igor,Ladlow,1999-04-22,$753.95,2015-09-30,false
Cody,Matiasek,1999-05-02,$1867.60,2011-02-27,true
Caria,Colicot,2001-02-15,$3194.92,2022-03-02,false
Minor,Bowle,2000-02-13,$1252.32,2016-10-26,true
Hymie,Pratley,1998-12-20,$2496.42,2014-02-21,false
Lucienne,Lackham,1999-01-13,$1197.63,2008-06-05,false
Randall,Lukovic,1999-11-14,$558.10,2006-10-19,true
Cicely,Wyre,2001-07-15,$3700.64,2022-11-23,false
Emogene,Dudden,1998-04-14,$2755.11,2018-03-19,false
Hedda,Hauxby,1998-09-18,$3701.84,2018-10-30,true
Hewett,Bischof,1999-07-22,$3780.58,2017-05-05,false
Rowen,Rodger,2000-11-07,$3008.45,2010-07-07,true
Itch,May,2001-12-12,$3118.13,2018-05-07,true
Milka,Grimbaldeston,2000-07-18,$2959.58,2008-07-26,false
Cherin,Signori,1998-09-27,$3662.57,2005-12-19,false
Chalmers,Maycock,1999-09-08,$1061.08,2016-07-03,false
Isidor,Arnal,2000-01-10,$1959.52,2002-09-24,false
Jessamine,Jellman,1998-12-27,$745.31,2009-08-28,true
Jolyn,Dulake,1999-11-11,$538.97,2011-01-13,true
Ginnie,Tomaschke,2000-01-04,$2381.11,2014-09-16,false
Luisa,Sonley,2001-12-22,$3986.13,2017-07-31,false
Edan,Kimmince,1999-08-01,$1429.69,2021-10-24,false
Brandi,Tubbs,2000-01-23,$2415.34,2004-05-01,true
Daune,Stendell,2001-11-24,$2505.80,2005-03-16,true
Kirsteni,Harvett,2001-01-15,$1387.61,2008-10-04,true
Kahlil,Tunnah,2000-12-30,$2254.50,2011-03-26,false
Jamey,Backsal,1999-05-04,$2109.96,2013-09-26,true
Catharine,Kettle,2001-10-03,$502.07,2022-01-07,true
Maude,Yoskowitz,2000-01-19,$3715.82,2007-01-16,true
Leontine,Zold,1999-01-09,$3436.64,2014-01-05,false
Adair,Block,2001-12-09,$2697.16,2012-12-30,false
Zarah,Billing,2002-01-26,$2316.64,2002-07-15,false
Justine,Guilloux,1999-06-26,$849.65,2009-09-17,true
Roch,Mumby,1998-11-26,$3337.97,2020-06-29,false
Dyna,Tregea,2001-07-15,$1097.57,2007-11-10,false
Hilliard,Rosewall,1998-07-26,$3147.59,2009-02-23,true
Leandra,Choak,1999-12-11,$2709.06,2022-01-28,true
Tedmund,Casserly,2000-03-24,$2052.19,2020-10-20,true
Daile,Roseby,2000-03-23,$706.87,2010-07-30,true
Athena,Garritley,1999-07-08,$3096.32,2005-03-24,false
Sally,Hutchcraft,1999-07-08,$920.53,2012-09-13,true
Peadar,MacSkeagan,1998-08-22,$599.15,2006-05-31,true
Becka,Yesenin,1999-05-24,$2944.90,2003-01-07,true
Beryl,McKissack,2001-10-19,$1974.12,2018-10-21,true
Gav,Sink,1999-05-29,$1060.88,2009-01-06,true
Hervey,Waugh,2002-02-01,$1564.77,2002-11-13,true
Rriocard,Twiggins,1999-12-29,$2098.07,2020-02-08,true
Dwain,Beavis,2000-08-15,$693.77,2021-07-25,false
Nolie,Richarz,2001-07-29,$2808.90,2016-08-07,false
Nappie,Double,1999-11-02,$2286.98,2011-12-17,true
Becki,Crowthe,2002-01-19,$2832.26,2010-06-17,true
Derek,Atkinson,2001-08-17,$3186.71,2018-09-04,true
Nancey,Eagland,2001-10-25,$1621.94,2014-09-30,true
Barbra,Cockburn,2000-05-03,$1253.77,2016-11-18,false
Marys,Stook,2000-05-28,$1533.76,2020-07-04,false
Donni,Helix,2001-08-14,$2770.55,2012-08-21,false
Eden,Vreiberg,2000-11-02,$3834.81,2008-01-27,false
Jorie,Golthorpp,1999-01-29,$2232.90,2012-01-24,true
Wallache,Battram,1998-11-26,$3535.35,2009-11-14,false
Chelsae,Simonds,2001-03-15,$2303.21,2021-03-26,false
Madelina,Rediers,2000-10-12,$3404.03,2021-07-06,true
Nanette,Derell,2001-05-11,$559.74,2022-07-15,false
Olympia,Boor,1998-05-18,$2852.80,2016-03-05,false
Rosaleen,Rowson,1999-03-06,$2483.64,2004-12-15,true
Orelia,McNulty,1998-09-05,$1961.12,2007-03-02,true
Moyra,Goward,1999-10-06,$982.13,2012-01-12,true
Britt,Inseal,2001-04-18,$579.55,2022-11-21,false
Kent,De Mattei,2001-09-10,$3275.69,2007-02-16,false
Elberta,Denton,2001-11-12,$1176.64,2002-10-18,false
Waldemar,Learoyde,1999-06-16,$1126.55,2021-01-19,false
Meris,Vowden,1999-10-20,$1279.46,2018-08-24,true
Arny,Dillestone,1999-05-20,$3509.58,2006-08-14,true
Lanna,Common,2000-09-25,$1329.85,2020-08-26,false
Sylas,Summerell,2000-04-16,$1719.35,2010-02-14,true
Darelle,Engledow,1998-05-08,$1033.38,2007-09-10,false
Tani,Goldstraw,2001-12-24,$2450.10,2014-02-06,false
Ashlin,Douty,2001-05-19,$3017.51,2014-05-11,true
Ellswerth,Marco,2001-01-10,$3411.74,2015-12-09,true
Lia,Carslake,1999-06-19,$3672.66,2020-08-08,true
Nancy,Brodeau,1999-05-01,$3698.27,2022-09-10,false
Lyle,di Rocca,1998-07-24,$1047.86,2016-06-01,false
Erick,Mayou,1998-08-24,$3744.29,2014-10-19,false
Rawley,Monkhouse,1999-02-12,$2484.51,2017-07-28,true
Ken,Bramer,2000-03-02,$2203.60,2010-07-28,false
Ari,Lamborne,2000-01-25,$3387.21,2007-01-27,false
Ferdinand,Bumpass,2000-07-22,$3491.49,2003-01-27,true
Brooke,O'Haire,1999-09-13,$3462.65,2012-12-25,false
Saundra,Colliss,2001-04-06,$2304.19,2020-10-27,false
Martguerita,Derisley,2000-11-12,$2265.98,2020-09-16,true
Lindie,Selborne,2000-07-18,$2998.03,2013-08-03,true
Sarene,Hearnes,1998-05-07,$2760.83,2020-07-02,false
Elwira,Simester,1998-05-26,$1808.34,2003-11-03,true
Brock,Lambertazzi,2000-10-24,$2583.80,2008-02-29,false
Robyn,Allport,2002-01-23,$3830.36,2011-07-24,true
Geoff,Aldine,2001-07-16,$1384.14,2019-08-28,true
Stormy,Neighbour,1999-09-10,$3108.51,2008-04-18,false
Philippine,Petrescu,2001-12-08,$1151.97,2003-09-27,false
Vincent,Gripton,1998-12-01,$1256.31,2009-05-08,false
Filippa,Pescott,1999-10-22,$1051.14,2021-08-12,true
Ahmad,Dace,1999-11-16,$814.42,2008-04-30,true
Anabella,Gariff,2001-05-11,$2884.65,2022-02-05,false
Cortney,Pillans,1998-08-10,$2099.69,2015-03-09,false
Guendolen,Utterson,2000-04-03,$2552.87,2002-11-16,true
Lucias,Challace,2000-08-05,$1221.80,2002-12-28,false
Junie,Demcak,2001-01-10,$1510.18,2017-06-02,false
Drusi,Pimblett,1998-06-10,$1751.84,2021-02-25,true
Justine,Hegg,1999-02-06,$3600.06,2004-07-23,true
Jolie,Van Dalen,2001-08-19,$2222.57,2017-12-21,false
Jamie,Augur,2001-11-24,$1520.18,2011-12-25,true
Rurik,Russe,2000-11-05,$3474.24,2010-05-04,true
Alethea,Fairlam,1999-09-01,$2885.31,2012-01-13,false
Essa,Gleder,2001-10-09,$2408.16,2016-02-22,true
Maggie,Picot,2000-10-23,$1474.45,2012-12-23,false
Viva,Seccombe,2001-04-30,$3784.35,2014-08-02,true
Hurleigh,Goodinson,1998-10-26,$1997.05,2015-07-30,false
Robb,Joanic,1999-06-22,$2530.31,2020-12-12,true
Deane,Nisbet,1999-09-08,$3860.82,2003-03-01,false
Margalit,Guard,2001-02-01,$1626.64,2014-11-19,false
Oby,O'Bradden,2001-09-15,$3959.87,2010-11-01,true
Irene,Romand,2001-03-02,$3331.35,2008-10-12,false
Kai,Baddow,2000-06-02,$2222.91,2021-03-22,false
Duff,Garfath,1998-08-21,$1344.18,2012-10-24,false
Chuck,Fucher,1999-05-17,$1037.82,2017-10-15,true
Nicolas,Blunsen,1998-03-15,$662.81,2010-01-25,false
Riane,Spincks,2000-09-29,$3534.39,2012-05-12,true
Hermia,Shorey,2000-08-17,$3366.33,2005-02-11,false
Averell,Isac,1998-05-20,$1108.65,2014-01-23,true
Tremain,Iiannone,2000-02-15,$1089.67,2010-02-04,false
Esther,Bowhey,2001-06-22,$733.61,2003-08-28,false
Dianne,Donan,2001-10-15,$801.13,2002-05-29,true
Giovanni,Paoli,1998-10-28,$2547.70,2014-06-07,true
Tamara,Blind,1998-07-10,$1897.08,2016-11-06,true
Claus,Spinello,2001-08-05,$3937.68,2009-01-17,false
Marji,Conti,2000-02-29,$645.74,2015-02-15,true
Fayette,Tellett,2001-01-22,$3422.16,2004-03-13,false
Hayden,Cluney,1999-07-16,$2722.44,2015-05-30,false
Heidie,Toffolo,1999-12-19,$3766.89,2015-06-10,false
Veronika,Dominico,2001-04-07,$2087.92,2009-05-17,false
Cyndia,Mougin,2001-06-12,$3854.23,2010-06-24,true
Davidde,Sleigh,2001-05-04,$1986.30,2005-10-20,false
Nikolas,Couzens,2001-09-28,$1610.69,2010-05-03,false
Randie,Cameron,2001-01-18,$1740.36,2019-02-25,true
Stefa,Schneider,1998-12-17,$1520.04,2017-08-21,false
Cherlyn,Hele,1998-06-27,$2612.96,2017-02-18,false
Brook,Pullman,1998-10-31,$1226.85,2018-04-05,false
Lennard,Ilewicz,1999-07-06,$736.27,2017-07-24,true
Vyky,Tilbey,2001-06-27,$1731.88,2017-06-09,true
Brigida,Grigoire,1998-09-29,$2987.06,2018-11-08,true
Dougy,Aldersley,2001-09-12,$680.00,2008-06-10,false
Kassie,Devonald,1999-06-17,$1557.68,2012-06-13,false
Gabriel,Merrilees,1998-03-28,$2839.28,2003-01-29,false
Ninnette,Neagle,1999-12-05,$624.37,2016-12-22,true
Inger,Woodstock,1999-09-13,$2687.80,2007-04-05,false
Candie,Phoenix,1998-05-09,$1835.54,2014-04-03,false
Meade,Hounsham,1999-09-19,$802.51,2020-09-11,false
Floyd,MacPhaden,2001-09-12,$3145.02,2009-03-23,true
Stephine,Greeson,1999-03-03,$787.98,2014-01-06,true
Pryce,Pol,1999-01-06,$2037.20,2015-06-02,false
Karina,MacCauley,1998-04-24,$2010.26,2019-04-13,false
Arnaldo,Ashbrook,2001-12-04,$1429.83,2020-06-27,false
Tanner,Folbige,1999-04-14,$1068.37,2010-08-06,true
Marleah,Titcomb,2000-09-17,$717.48,2019-10-17,false
Nollie,Raoux,1998-06-25,$3093.27,2020-06-03,true
Nikoletta,Creamer,1998-04-20,$3937.59,2009-11-10,true
Kamila,Hanham,2000-11-29,$1578.66,2011-09-28,true
Lurleen,Doble,2000-02-13,$2809.72,2014-10-31,false
Oralie,Brahm,2001-11-26,$3034.84,2004-01-06,false
Marji,Dimelow,2001-07-18,$2307.41,2003-05-26,false
Marjorie,Figg,1998-06-11,$3751.40,2021-01-16,false
Gardy,Banger,2001-12-13,$608.42,2019-03-08,true
Wallas,Bockmaster,1998-12-29,$3809.78,2006-11-16,false
Dicky,Sturdgess,1998-12-19,$606.35,2022-01-21,true
Eugenie,Cofax,2002-02-05,$2010.89,2005-11-19,false
Fancie,Lewing,2000-05-16,$3167.63,2015-08-20,false
Brady,Clough,2001-01-31,$2667.26,2010-12-27,true
Maura,MacGuiness,2000-05-03,$3843.66,2017-10-08,false
Franky,Kerwood,1999-02-13,$3462.14,2017-02-20,true
Shane,Benwell,1999-12-30,$1844.95,2010-12-02,false
Eulalie,Van Driel,1998-06-29,$3122.19,2009-02-03,false
Daisi,Hendren,2001-11-07,$3482.41,2022-10-01,true
Beryle,Kochel,1999-01-07,$3730.46,2018-04-10,true
Rozelle,Gillam,1998-10-18,$3936.57,2014-01-03,true
Selig,Penn,1998-09-04,$780.23,2016-03-05,false
Keir,Pardy,2000-12-07,$1260.79,2010-11-17,false
Faber,Whifen,2001-07-21,$982.46,2012-04-26,false
Pauletta,Seamons,2001-04-23,$1098.89,2021-09-22,true
Peadar,Edlington,2000-10-03,$3635.21,2022-05-02,false
Ginger,Tottie,1999-05-27,$577.97,2008-05-19,true
Bili,Kimblin,1998-07-28,$751.18,2021-11-29,false
Esteban,Le Provost,1998-11-12,$1582.13,2014-09-28,false
Cleveland,Latour,2001-11-13,$3021.66,2014-12-29,true
Timothea,Biskupiak,2000-01-12,$2928.54,2006-03-23,false
Carolee,Maddison,1999-11-09,$716.43,2013-06-06,true
Doralia,Barnbrook,2001-12-29,$3196.03,2012-09-01,false
Chen,McEnteggart,2000-07-29,$2432.28,2020-05-26,true
Natty,Jurczik,2001-06-23,$614.86,2003-03-22,true
Harper,Gazey,2000-09-15,$623.42,2008-07-02,true
Rheba,Tampling,1999-05-12,$2718.18,2018-09-22,false
Bert,Maycock,1999-06-18,$1648.65,2005-12-25,false
Jarad,Giraldon,1998-07-18,$1550.14,2005-09-20,true
Camala,Markwick,2000-06-08,$936.93,2017-04-27,false
Peg,Euston,2001-02-14,$3707.46,2011-12-03,false
Lindon,Noury,2001-11-03,$3796.61,2003-12-12,true
Ronda,Smallshaw,2001-08-07,$3783.14,2009-09-07,true
Bernadene,Markos,2001-10-08,$3897.51,2016-08-27,true
Giralda,Hannen,1998-09-10,$3639.39,2019-02-09,true
Marve,Tickel,2001-07-03,$1043.44,2006-11-04,true
Westbrooke,Michal,1999-07-07,$739.23,2013-07-06,true
Dagny,Placido,1999-11-01,$2523.37,2019-09-08,false
Elna,Dauncey,1999-12-07,$2255.81,2020-01-17,false
Fredia,MacGillacolm,2001-06-15,$2304.07,2002-03-23,true
Elspeth,Brocklehurst,2001-01-23,$1258.01,2009-02-27,false
Sharlene,Gooddie,2000-01-10,$2776.78,2003-04-22,false
Moria,Edgworth,1998-12-08,$3068.69,2022-10-10,true
Keary,Archbutt,2001-12-15,$1050.96,2021-11-08,false
Berri,Kunrad,1998-09-21,$1544.14,2007-08-20,false
Pris,Gobert,2001-02-24,$1017.01,2006-02-08,false
Baird,Blanchet,1998-04-25,$1488.08,2016-03-08,true
Lesli,Gillbe,2002-01-01,$1878.51,2008-02-17,true
Buffy,Boerderman,2000-01-25,$1083.85,2004-04-18,false
Frederico,Olekhov,1999-11-27,$2825.83,2018-12-18,true
Franchot,Massie,1998-12-24,$3382.86,2008-09-20,true
Bernie,Amaya,2000-03-10,$2278.68,2020-12-05,false
Richardo,Rose,2001-10-03,$3806.43,2009-11-06,false
Elicia,Eberts,1998-12-08,$1112.11,2016-10-29,false
Abba,Medley,2001-10-28,$3815.50,2021-08-20,true
Marcelline,Lemarie,1998-09-11,$3188.05,2022-04-04,false
Bondy,Busse,2001-06-09,$2326.07,2011-01-01,true
Heddie,Hull,1999-05-28,$1157.86,2009-10-12,true
Sosanna,Rosle,1999-11-11,$3382.64,2006-06-09,false
Walton,Debill,2001-06-06,$3837.97,2007-07-10,false
Daren,Tooke,2000-07-18,$3569.66,2016-12-29,false
Elysee,Wilshire,2001-03-16,$3375.15,2009-06-22,false
Arleen,Cubbit,1999-10-27,$2663.95,2015-10-12,false
Abeu,Batte,2002-02-06,$3931.54,2016-07-29,false
Riccardo,Brauns,1999-03-30,$1485.28,2007-07-08,true
Emmalynne,Gritskov,2000-11-21,$2226.24,2004-05-07,true
Wakefield,Bisp,1999-01-24,$3825.22,2010-02-18,true
Pepito,Fargie,1998-09-08,$1462.74,2018-12-09,false
Tabby,Cartwright,2000-02-17,$3884.29,2012-04-01,false
Yoshi,Aimer,2000-09-23,$1452.93,2010-08-19,true
Patsy,Grimbleby,1998-11-30,$3498.75,2008-09-02,false
Marys,Calender,1998-10-10,$2643.89,2019-12-21,true
Lainey,Minshull,2002-01-12,$1467.09,2006-10-07,true
Felipe,Teall,2001-05-04,$3946.54,2019-08-03,false
Kristina,Morrieson,2000-06-07,$648.83,2016-11-19,false
Fanny,Arends,2000-12-07,$1942.41,2012-02-08,true
Carolyn,Koeppke,2001-06-24,$2606.49,2009-01-21,true
Ange,Chesterfield,1999-07-07,$678.43,2015-07-15,true
Consuela,Penburton,2001-01-29,$1696.96,2011-05-11,false
Thurstan,Laurentino,2000-01-26,$3823.69,2005-12-02,true
Ardyce,Lusher,2000-01-05,$1733.32,2021-03-02,false
Myrtle,Egel,1999-10-20,$1824.61,2006-08-08,false
Tarrance,Heed,1999-08-20,$3336.05,2022-04-28,true
Falito,Brettle,2000-09-15,$2942.39,2006-08-11,true
Guenna,Reoch,2000-08-15,$3311.98,2021-02-07,false
Caryn,Thonger,1998-05-08,$1056.17,2017-08-30,true
Kaylyn,Ledner,1999-12-16,$1966.36,2005-07-07,true
Bax,Boddis,2000-03-17,$2102.70,2016-10-15,false
Harwell,Consadine,1998-05-01,$1486.21,2010-01-16,true
Ugo,Dedden,2001-04-08,$3704.72,2022-07-24,false
Ophelie,Corley,2001-06-24,$1242.82,2018-12-05,true
Joanne,Smedmoor,2001-03-08,$2785.50,2003-03-03,false
Pedro,Di Biagi,2001-01-05,$3384.53,2002-11-12,true
Lombard,Samwayes,1998-09-11,$3539.53,2011-02-14,false
Sela,Maddrah,2001-10-31,$3744.17,2007-04-11,true
Orella,Bellenie,2001-04-16,$1260.43,2003-02-03,false
Teresita,Sixsmith,2000-10-20,$974.60,2021-09-11,false
Hadrian,Guilford,1999-01-31,$1175.34,2004-09-22,false
Reggy,Frake,1999-07-28,$2034.58,2006-11-19,true
Lev,Carslaw,2000-05-18,$824.13,2007-02-07,true
Thomasin,Paoloni,1999-09-20,$3173.71,2015-01-10,false
Adrien,Hanaford,2002-01-31,$1646.52,2017-05-28,true
Nikki,McCrorie,1998-08-19,$625.71,2003-02-23,true
Trumaine,Caulliere,1999-09-26,$3832.98,2016-01-29,false
Herby,Poel,2000-01-11,$1175.36,2007-04-25,true
Will,Groucutt,2000-01-21,$1054.21,2022-01-04,true
Karee,Duddan,2000-04-27,$1092.61,2003-03-22,true
Janot,Burgum,1999-02-15,$3889.31,2016-08-19,true
Kylie,Badman,2001-12-17,$2384.30,2021-06-07,false
Guglielma,Hugues,2000-03-13,$3676.27,2022-03-22,false
Van,Khalid,1998-04-06,$1113.92,2010-06-19,false
Dag,Wellbeloved,2002-03-06,$1730.62,2005-10-09,false
Tessa,Maddra,2000-11-04,$3611.94,2008-11-13,true
Adria,Frankiewicz,2000-10-24,$2541.89,2004-05-31,false
Marta,Gouldthorp,1999-10-28,$3708.64,2020-03-04,true
Dorry,Gilardi,1998-04-14,$1061.50,2005-10-28,true
Jaquelyn,Pierrepont,1999-07-07,$2768.80,2017-04-15,false
Dianna,Pessel,1998-08-10,$2344.36,2004-03-08,false
Suellen,Wilcot,2001-07-11,$2027.55,2011-05-06,true
Hilary,Bretton,1998-11-26,$3222.96,2020-08-24,false
Wanda,Wooder,1999-07-27,$700.17,2014-06-20,true
Valenka,Duny,2000-07-13,$646.00,2018-09-17,false
Ingemar,De Lasci,1998-10-20,$3881.52,2016-06-14,true
Delphine,Spickett,2001-03-12,$1354.08,2010-08-05,false
Emily,Comley,1999-05-28,$3767.05,2005-05-04,true
Ruthann,Ielden,1999-09-04,$3603.69,2009-03-31,true
Coletta,Spottiswoode,2000-05-04,$673.55,2016-09-25,true
Abby,Pattini,1999-10-18,$3880.29,2005-03-10,true
Ranique,Rohan,2001-06-11,$2687.79,2009-05-17,true
Silvie,Le Grice,1999-01-23,$770.70,2012-05-25,false
Dwayne,Dowsett,1998-12-29,$3645.20,2018-12-29,false
Silvanus,Mellon,2001-02-09,$3774.35,2002-11-20,true
Linea,Ascraft,1998-06-15,$1964.31,2006-09-17,false
Jozef,Hofner,2000-03-30,$1553.71,2019-06-10,false
Nonie,Slot,2000-12-20,$1837.84,2020-06-14,false
My,Mattheeuw,2000-03-28,$3326.93,2009-11-05,false
Sindee,Lammerich,1998-06-19,$2439.44,2010-09-03,true
Harlin,Pitson,2001-09-07,$2910.20,2005-03-21,false
Kristen,Blasli,1998-07-17,$2657.61,2019-05-24,false
Kris,Powrie,2001-12-09,$3183.99,2008-06-18,false
Myron,Veschi,1998-03-26,$2384.94,2008-10-20,false
Ardeen,Tooting,1999-04-28,$2088.22,2022-11-26,false
Rheba,Milton-White,2000-06-02,$2058.60,2006-07-30,false
Garth,Tuson,1999-06-11,$1335.72,2018-02-23,false
Loraine,Jaffray,1998-07-04,$2502.20,2013-09-11,false
Gabe,Ebhardt,2000-10-15,$3763.60,2019-12-18,true
Shana,Semonin,1998-08-14,$3364.04,2016-09-12,true
Michaella,Blees,1998-09-02,$3823.15,2012-04-30,false
Vinny,Zecchii,1999-06-20,$1558.04,2010-06-15,false
Petronille,Maulden,1999-08-22,$1067.79,2021-06-10,true
Salmon,Creavan,2000-12-19,$2010.93,2015-08-28,true
Mellisa,Emby,2000-11-25,$1831.57,2003-12-23,false
Josefina,Croser,2000-07-24,$2930.95,2011-02-18,false
Johan,Balfour,1999-12-11,$1068.86,2019-01-20,false
Brew,Bocken,1998-08-08,$1584.80,2014-05-07,false
Cordelie,Kirsche,1999-05-23,$3352.87,2022-10-26,true
Ahmed,Aguilar,2001-09-09,$2707.32,2016-04-08,false
Sal,Vern,2000-09-03,$972.46,2007-01-12,true
Tiertza,Broadhurst,1999-01-23,$680.39,2010-06-10,true
Gates,Gummow,2001-10-02,$3580.07,2020-03-23,false
Gale,Moulsdall,2001-05-09,$3681.87,2007-12-21,true
Cello,Cavalier,2000-08-06,$610.50,2019-10-12,false
Sheela,Charle,2000-08-21,$3776.02,2006-04-23,true
Raf,Greenier,2000-11-04,$3038.30,2009-01-17,false
Glynnis,Chapiro,2001-06-10,$3991.47,2010-08-26,true
Arturo,Burtonwood,2000-05-19,$2442.15,2017-12-22,true
Patrice,Duer,2000-03-09,$2786.78,2022-02-04,false
Derril,Burnup,1998-08-06,$2562.66,2014-04-28,false
Cosimo,Leate,2001-07-20,$2549.12,2010-10-12,false
Walsh,Stivey,1999-03-11,$788.73,2009-06-29,true
Victoria,Graffin,2001-11-24,$2273.66,2009-08-23,true
Bary,Fennelly,2001-03-01,$2551.30,2016-01-06,true
Edvard,Rhubottom,2001-06-14,$1866.53,2021-02-25,false
Veriee,Lys,2001-06-23,$3996.65,2021-05-09,false
Martguerita,Tidd,2001-01-23,$3115.49,2007-12-18,false
Dorolisa,Harmond,2001-11-23,$2399.64,2008-03-06,false
Barret,Mancer,2002-02-26,$2505.57,2017-07-08,false
Jeff,Statefield,1999-03-02,$812.00,2014-09-03,false
Michel,Demoge,2001-12-01,$627.18,2004-06-19,false
Brandie,Stockow,1999-10-13,$2521.20,2009-07-04,false
Geri,Kingh,2000-12-01,$1157.76,2005-05-01,false
Val,Runacres,2000-01-19,$1315.83,2019-07-17,true
Alyse,Ehlerding,2002-02-21,$1695.17,2006-10-26,true
Desirae,O'Scannill,1999-12-01,$3613.98,2016-02-23,false
Emlyn,Birrell,1998-12-01,$1192.76,2015-07-30,false
Alexi,Durram,1999-12-31,$1594.50,2018-12-03,false
Clotilda,Taylerson,1998-12-13,$2076.17,2013-01-06,false
Marielle,Dalyiel,1999-05-31,$3579.29,2007-06-12,false
Yoshi,Borris,1999-08-26,$1247.62,2002-07-16,true
Berri,Berni,2000-12-22,$2171.79,2022-07-07,true
Audre,Foote,1998-03-31,$2915.55,2006-02-11,true
Raynor,Philipson,2001-11-14,$2533.44,2014-03-10,false
Warren,Burdess,1998-12-21,$605.33,2016-12-26,false
Kordula,Drews,1998-10-23,$1936.47,2014-12-16,false
Nata,Micklewicz,1999-12-17,$777.04,2018-06-13,false
Enrico,Alstead,2001-11-24,$3957.66,2022-07-20,true
Dirk,McKniely,1999-10-19,$3033.40,2016-04-17,false
Dani,Loukes,1999-08-28,$2926.66,2007-05-22,false
Trudy,Bennen,1999-11-14,$677.37,2009-07-14,true
Hiram,McCrostie,1998-11-19,$2975.47,2006-01-22,false
Margaret,Jurgenson,2000-01-08,$2975.77,2016-01-08,true
Clemmie,Sherr,2001-02-08,$3143.57,2016-06-25,false
Carena,Cicchetto,2001-11-13,$604.24,2015-03-20,false
Baudoin,Kubas,2000-10-04,$3720.66,2007-07-02,false
Jere,Wapples,1998-10-19,$2547.75,2018-10-29,true
Ogdan,Kennifeck,1999-07-27,$3176.18,2022-09-03,false
Kirsti,Risby,2000-07-13,$3074.72,2002-12-14,true
Marika,Tripon,2001-01-09,$1000.66,2016-10-25,true
Worden,Brownsill,1998-07-31,$2049.62,2018-02-09,true
Teddie,Vassel,2000-11-25,$1146.98,2014-04-18,false
Lorita,MacFadzean,2000-01-18,$1361.50,2012-09-10,true
Tommi,McNair,1998-05-16,$3438.51,2017-12-28,true
Arlyne,Kuscha,1998-06-13,$3713.63,2010-04-30,false
Lari,Coldrick,2001-07-23,$2117.86,2013-09-19,false
Kelley,Rosser,2000-04-01,$3030.56,2017-06-10,true
Jacinda,Stiell,2001-03-27,$1314.72,2014-02-06,false
Maris,Fowden,1998-08-08,$651.25,2008-08-03,true
Lyman,Hulstrom,1999-01-27,$3553.57,2011-03-11,false
Cornelius,Wanderschek,2001-02-08,$2901.41,2007-05-10,true
Kata,Slite,1998-06-28,$3786.92,2016-08-28,true
Theodor,McPharlain,2001-02-10,$1569.26,2003-07-19,false
Berri,Antonchik,1998-09-19,$3467.15,2016-10-20,false
Ariel,Leipold,1999-01-07,$1409.27,2002-03-30,true
Rudolph,O'Canavan,2000-12-04,$1776.12,2016-06-02,true
Lorry,Wilfing,2000-02-19,$2161.50,2013-01-14,true
Zarla,Crinage,2001-07-22,$2612.92,2012-09-07,true
Elijah,Domeny,2000-04-30,$3540.31,2023-02-08,false
Allister,Aireton,2000-06-27,$2474.33,2020-10-18,false
Shannen,Vere,1999-09-24,$907.20,2014-12-02,true
Emiline,Ceschini,2001-04-07,$2972.94,2007-03-22,true
Maurita,Briers,2001-10-12,$3003.42,2018-08-14,true
Jarrod,Wolford,1999-08-31,$1796.54,2014-03-21,false
Antin,Swiggs,2000-07-17,$1969.97,2012-09-03,false
Malissia,Hentzeler,1999-01-10,$1142.16,2011-11-02,true
Freda,Craxford,1998-08-30,$3060.92,2020-11-22,true
Germain,Iuorio,2000-10-27,$3873.31,2013-03-07,true
Linn,McCrainor,1999-11-23,$2264.09,2003-11-13,false
Emmanuel,Elleray,1998-10-26,$1845.34,2017-01-24,false
Tamma,Digg,1998-03-27,$768.42,2005-07-08,true
Aldrich,Halwill,2000-01-11,$3962.42,2016-08-22,true
Giordano,Lenz,1998-05-19,$2116.62,2020-05-20,false
Orelie,Vondrach,2000-08-01,$2875.32,2012-07-09,false
Graehme,Bitten,2001-02-16,$2799.39,2021-07-09,false
Chancey,Beswell,2001-10-14,$1797.08,2018-05-07,true
Lothario,Greathead,2002-01-17,$588.99,2021-08-09,false
